▶️┃央视,#genre#
cctv1,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv1
cctv1b,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv1b
cctv2,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv2
cctv3,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv3
cctv4,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv4
cctv4欧洲,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv4欧洲
cctv4美洲,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv4美洲
cctv5,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv5
cctv5b,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv5b
cctv5p,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv5p
cctv5p2,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv5p2
cctv6,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv6
cctv7,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv7
cctv8,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv8
cctv9,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv9
cctv10,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv10
cctv11,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv11
cctv12,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv12
cctv13,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv13
cctv14,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv14
cctv15,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv15
cctv17,http://103.45.68.47:666/gy/gy_CGlA/爱看mg.php?id=cctv17

▶️┃央视2,#genre#


CCTV-2财经,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=065
CCTV-3综艺,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=126
CCTV-4中文国际,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=14
CCTV-5体育,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=125
CCTV-5+体育赛事,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=124
CCTV-6电影,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=127
CCTV-7国防军事,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=41
CCTV-8电视剧,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=128
CCTV-9纪录,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=050
CCTV-10科教,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=099
CCTV-11戏曲,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=008
CCTV-12社会与法,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=168
CCTV-13新闻,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=032
CCTV-14少儿,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=151
CCTV-15音乐,http://103.45.68.47:666/gy/gy_JSVK/阳泉.php?id=007
